UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement
02.25.17.613	3	29.97002997003	82.3143416583416	50.8219199006073	47.97	0.5	0	0	0
02.25.18.623	3	20.979020979021	756.15976023976	44.8101509303283	47.29	0.5	0	0	0
02.25.19.631	3	18.981018981019	52.0924915084915	49.7870613291758	47.34	0.5	0	0	0
02.25.20.639	3	17.982017982018	49.5787972027972	42.2424045315959	47.79	0.5	0	0	0
02.25.21.647	3	16.983016983017	48.929982017982	77.9398688111043	48.87	0.5	0	0	0
02.25.22.656	3	20.9580838323353	62.0372694610778	55.6752342891068	49.51	0.5	0	0	0
02.25.23.666	3	16.9660678642715	55.7668502994012	98.6204809206718	55.7	0.5	0	0	0
02.25.24.683	3	16.983016983017	48.9191928071928	50.4128465307687	62.46	0.5	0	0	0
02.25.25.692	3	23.976023976024	66.752055944056	95.1413343373789	83.73	0.5	0	0	0
02.25.26.700	3	19.98001998002	55.4085434565435	41.8052141977965	82.86	0.5	0	0	0
02.25.27.710	3	19.98001998002	55.53002997003	51.977153592314	82.14	0.5	0	0	0
02.25.28.719	3	17.982017982018	49.7339460539461	46.6368903678009	76.55	0.5	0	0	0
02.25.29.728	3	17	46.809624	53.3269563174834	69.99	0.5	0	0	0
02.25.30.737	3	18.981018981019	52.3041038961039	54.3701336935284	55.54	0.5	0	0	0
02.25.31.745	3	19.98001998002	55.1934065934066	52.8509534550988	49.74	0.5	0	0	0
02.25.32.755	3	20.979020979021	57.8787932067932	137.761812139012	67.37	0.5	0	0	0
02.25.33.763	3	22.977022977023	63.5178581418581	50.4454053356424	69.12	0.5	0	0	0
02.25.34.776	3	19.98001998002	55.4719120879121	51.7892153002764	68.65	0.5	0	0	0
02.25.35.784	3	20.979020979021	58.1614705294705	53.3839843647149	67.91	0.5	0	0	0
02.25.36.793	3	1.99600798403194	711.114307385229	49.0959960911787	67.97	0.5	0	0	0
02.25.37.802	3	0	0	49.0959960911787	67.97	0.5	0	0	0
02.25.38.812	3	2.997002997003	8.28251748251748	49.3869995113973	68.09	0.5	0	0	0
